experiment,tube,treatment,corn_trait,colony,block,rep,larv_surv,hcw1,hcw2,hcw3,hcw4,hcw5,hcw6,Average,HCW_20,total_larva_weighed,larv_dw,weight_per_larvae,root_dw,seed_num
21KYL,249,TR,BT,RES,1,2,5,7,6,7,6.5,,,6.625,0.33125,4,0.58,0.145,0.10698,1
21KYL,265,TR,BT,SUS,1,3,2,5,4.5,,,,,4.75,0.2375,2,0.009,0.0045,0.1723,2
21KYL,273,TR,BT,RES,1,3,4,6.5,7,5,7,,,6.375,0.31875,4,0.414,0.1035,0.17725,2
21KYL,21,CC,ISO,CTRL,1,1,,,,,,,,,,,,,0.11126,1
21KYL,45,CC,ISO,CTRL,1,2,,,,,,,,,,,,,0.24928,2
21KYL,69,CC,ISO,CTRL,1,3,,,,,,,,,,,,,0.2094,2
21KYL,93,CC,BT,CTRL,1,1,,,,,,,,,,,,,0.28087,2
21KYL,117,CC,BT,CTRL,1,2,,,,,,,,,,,,,0.22919,2
21KYL,137,CC,BT,CTRL,1,3,,,,,,,,,,,,,0.23086,2
21KYL,161,TR,ISO,CTRL,1,1,,,,,,,,,,,,,0.24375,2
21KYL,185,TR,ISO,CTRL,1,2,,,,,,,,,,,,,0.27248,2
21KYL,213,TR,ISO,CTRL,1,3,,,,,,,,,,,,,0.22921,2
21KYL,237,TR,BT,CTRL,1,1,,,,,,,,,,,,,0.16561,2
21KYL,261,TR,BT,CTRL,1,2,,,,,,,,,,,,,0.18942,2
21KYL,281,TR,BT,CTRL,1,3,,,,,,,,,,,,,0.21837,2
21KYL,2,CC,ISO,SUS,2,1,5,8.5,9,7,7,8,,7.9,0.395,5,0.612,0.1224,0.18971,2
21KYL,14,CC,ISO,RES,2,1,2,6,5,,,,,5.5,0.275,2,0.119,0.0595,0.10892,1
21KYL,26,CC,ISO,SUS,2,2,6,7,8.5,8,7.5,8,7,7.67,0.38,6,0.676,0.112666667,0.19471,2
21KYL,38,CC,ISO,RES,2,2,2,5.5,6,,,,,5.75,0.2875,2,0.141,0.0705,0.20707,2
21KYL,50,CC,ISO,SUS,2,3,1,8,,,,,,8,0.4,1,0.092,0.092,0.19434,2
21KYL,62,CC,ISO,RES,2,3,4,6,7,8.5,6,,,6.875,0.34375,4,0.418,0.1045,0.32495,2
21KYL,74,CC,BT,SUS,2,1,2,5,4.5,,,,,4.75,0.2375,2,0.131,0.0655,0.14792,2
21KYL,86,CC,BT,RES,2,1,3,8.5,5,5.5,,,,6.33,0.32,3,0.21,0.07,0.19775,2
21KYL,102,CC,BT,SUS,2,2,1,5,,,,,,5,0.25,1,0.017,0.017,0.13964,2
21KYL,106,CC,BT,RES,2,2,3,5,8,8.5,,,,7.17,0.36,3,0.197,0.065666667,0.19759,2
21KYL,126,CC,BT,SUS,2,3,2,5,4,,,,,4.5,0.225,2,0.042,0.021,0.23261,2
21KYL,130,CC,BT,RES,2,3,3,5,4.5,7.5,,,,5.67,0.28,3,0.191,0.063666667,0.20317,2
21KYL,150,TR,ISO,SUS,2,1,0,,,,,,,,,0,,,0.21003,2
21KYL,158,TR,ISO,RES,2,1,1,7,,,,,,7,0.35,1,0.04,0.04,0.2234,2
21KYL,170,TR,ISO,SUS,2,2,2,8,8,,,,,8,0.4,2,0.171,0.0855,0.21968,2
21KYL,182,TR,ISO,RES,2,2,4,8,8,8,9,,,8.25,0.4125,4,0.667,0.16675,0.29331,2
21KYL,198,TR,ISO,SUS,2,3,2,7,6,,,,,6.5,0.325,2,0.139,0.0695,0.25942,2
21KYL,202,TR,ISO,RES,2,3,3,9,8,8.5,,,,8.5,0.425,3,0.351,0.117,0.17546,2
21KYL,218,TR,BT,SUS,2,1,0,,,,,,,,,0,,,0.21989,2
21KYL,230,TR,BT,RES,2,1,0,,,,,,,,,0,,,0.21324,2
21KYL,242,TR,BT,SUS,2,2,1,4.5,,,,,,4.5,0.225,1,0.021,0.021,0.20743,2
21KYL,254,TR,BT,RES,2,2,2,9,8.5,,,,,8.75,0.4375,2,0.494,0.247,0.15457,2
21KYL,266,TR,BT,SUS,2,3,0,,,,,,,,,0,,,0.15714,2
21KYL,278,TR,BT,RES,2,3,4,9,6,8.5,7,,,7.625,0.38125,4,0.387,0.09675,0.19621,2
21KYL,18,CC,ISO,CTRL,2,1,,,,,,,,,,,,,0.2956,2
21KYL,46,CC,ISO,CTRL,2,2,,,,,,,,,,,,,0.25555,2
21KYL,66,CC,ISO,CTRL,2,3,,,,,,,,,,,,,0.21398,2
21KYL,94,CC,BT,CTRL,2,1,,,,,,,,,,,,,0.23882,2
